ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Conseil
"3";"Boîte Dragées Surprises de Bertie Crochue";"JB-EHPBBBO";"1.71";"4.95";"2.89";"58.5%";"3.50";"4.90";"4.20";"4.90";"3.50";"-";"-";"RAS"
"11";"Porte-clés 3D Etoile du soir";"ABYKEY294";"5.99";"11.99";"2.00";"40.1%";"12.90";"12.90";"12.90";"12.90";"-";"-";"-";"Marge faible (Vérifier)"
"15";"Porte-clés 3D Targaryen";"ABYKEY242";"4.99";"9.90";"1.98";"39.5%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"17";"Porte-clés Targaryen";"ABYKEY011";"3.60";"9.90";"2.75";"56.4%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"18";"Porte-clés Lannister";"ABYKEY010";"3.60";"9.90";"2.75";"56.4%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"19";"Porte-clés 3D Main du roi";"ABYKEY103";"4.99";"9.90";"1.98";"39.5%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"32";"Porte-clé Baguette Lumos";"GIFWOW012";"4.95";"9.90";"2.00";"40.0%";"39.90";"39.99";"39.95";"39.90";"39.99";"39.95";"-";"Opportunité (Augmenter !)"
"36";"Mug - 250 ml - Luna Lovegood";"ABYMUG717";"4.99";"9.99";"2.00";"40.1%";"11.99";"11.99";"11.99";"-";"11.99";"-";"-";"Opportunité (Augmenter !)"
"38";"Porte-clés 3D Baguette de Sureau";"ABYKEY301";"4.99";"9.90";"1.98";"39.5%";"11.90";"39.99";"30.61";"11.90";"39.99";"39.95";"-";"Opportunité (Augmenter !)"
"39";"Porte-clés Mangemort";"ABYKEY225";"3.99";"7.99";"2.00";"40.1%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"41";"Mug Heat Change - 460 ml - Maraudeur";"ABYMUG301";"7.49";"14.99";"2.00";"40.0%";"16.99";"16.99";"16.99";"-";"16.99";"-";"-";"Opportunité (Augmenter !)"
"44";"Cahier A5 Carte du Maraudeur";"ABYNOT036";"4.99";"9.99";"2.00";"40.1%";"19.90";"19.90";"19.90";"-";"-";"19.90";"0.00";"Opportunité (Augmenter !)"
"45";"Porte-clés 3D Nimbus";"ABYKEY344";"4.99";"9.90";"1.98";"39.5%";"11.90";"11.90";"11.90";"11.90";"-";"-";"-";"Opportunité (Augmenter !)"
"46";"Mug - 250 ml - Phoenix";"ABYMUG480";"4.99";"9.99";"2.00";"40.1%";"11.99";"11.99";"11.99";"-";"11.99";"-";"-";"Opportunité (Augmenter !)"
"57";"Puzzle Le Tournoi des Trois Sorciers (1000 pièces)";"RAVE16518";"7.55";"14.90";"1.97";"39.2%";"26.90";"26.90";"26.90";"26.90";"-";"-";"-";"Opportunité (Augmenter !)"
"58";"Puzzle Le secret d'Azkaban (1000 pièces)";"RAVE16517";"7.55";"14.90";"1.97";"39.2%";"18.90";"18.90";"18.90";"18.90";"-";"-";"-";"Opportunité (Augmenter !)"
"59";"Jeu de cartes à jouer Poudlard";"PP4258HPV2";"4.83";"9.99";"2.07";"42.0%";"9.99";"9.99";"9.99";"-";"9.99";"-";"0.00";"Marge faible (Vérifier)"
"79";"Mug Le Chaudron Baveur";"MUGTDHP20";"5.98";"12.90";"2.16";"44.4%";"26.90";"26.90";"26.90";"26.90";"-";"-";"-";"Opportunité (Augmenter !)"
"96";"Lot 3 paires de Chaussettes Poufsouffle - Du 37 au 46";"CR1624";"6.20";"12.95";"2.09";"42.5%";"13.90";"13.90";"13.90";"13.90";"-";"-";"-";"Marge faible (Vérifier)"
"97";"Chemin De Traverse - puzzle 3D Wrebbit";"W3D1010";"18.99";"37.95";"2.00";"40.0%";"34.90";"34.90";"34.90";"34.90";"-";"-";"-";"Trop cher (Baisser !)"
"106";"Echarpe de Norbert Dragonneau";"CR1009";"9.75";"22.00";"2.26";"46.8%";"24.90";"24.90";"24.90";"-";"-";"24.90";"0.00";"Opportunité (Augmenter !)"
"107";"Echarpe - Poufsouffle";"CR1004";"9.75";"22.00";"2.26";"46.8%";"9.90";"21.99";"15.95";"9.90";"21.99";"-";"0.00";"RAS"
"108";"Echarpe - Serdaigle";"CR1003";"9.50";"22.00";"2.32";"48.2%";"14.90";"21.99";"18.45";"14.90";"21.99";"-";"0.00";"RAS"
"109";"Echarpe - Serpentard";"CR1002";"9.50";"22.00";"2.32";"48.2%";"9.90";"21.99";"15.95";"9.90";"21.99";"-";"0.00";"RAS"
