ID;Nom;EAN;Mon Prix Achat HT;Mon Prix Vente TTC;Mon Coef;Ma Marge Brute %;Prix Min Marché;Prix Max Marché;Prix Moyen Marché;3 Reliques;4 Maisons;Wizard Shop;2 Balais;Confiance;Conseil
"1";"Chocogrenouille au chocolat";"JB-EHPC";"3.42";"6.99";"2.04";"41.3%";"5.40";"9.90";"6.95";"9.90";"5.40";"6.00";"6.50";"0.83";"Marge faible (Vérifier)"
"3";"Boîte Dragées Surprises de Bertie Crochue";"JB-EHPBBBO";"1.71";"4.95";"2.89";"58.5%";"3.50";"5.99";"4.80";"4.90";"3.50";"-";"5.99";"0.94";"RAS"
"7";"Bieraubeurre sans alcool";"UN-SBB";"2.26";"3.95";"1.75";"31.3%";"4.00";"4.50";"4.25";"-";"4.00";"4.50";"-";"0.63";"Marge faible (Vérifier)"
"11";"Porte-clés 3D Etoile du soir";"ABYKEY294";"5.99";"11.99";"2.00";"40.1%";"11.99";"12.90";"12.60";"12.90";"11.99";"12.90";"-";"0.81";"Marge faible (Vérifier)"
"12";"Pin's 3D Feuille de la Lorien";"ABYPIN015";"3.49";"6.99";"2.00";"40.1%";"9.90";"9.90";"9.90";"9.90";"-";"-";"-";"0.88";"Opportunité (Augmenter !)"
"14";"Chope Poney Fringant";"ABYVER024";"7.49";"15.99";"2.13";"43.8%";"12.90";"12.90";"12.90";"12.90";"-";"-";"-";"0.65";"Trop cher (Baisser !)"
"15";"Porte-clés 3D Targaryen";"ABYKEY242";"4.99";"9.90";"1.98";"39.5%";"8.99";"9.90";"9.45";"9.90";"-";"-";"8.99";"0.64";"Marge faible (Vérifier)"
"17";"Porte-clés Targaryen";"ABYKEY011";"3.60";"9.90";"2.75";"56.4%";"8.99";"11.99";"10.29";"9.90";"11.99";"-";"8.99";"0.65";"RAS"
"18";"Porte-clés Lannister";"ABYKEY010";"3.60";"9.90";"2.75";"56.4%";"8.99";"9.90";"9.29";"9.90";"8.99";"-";"8.99";"0.68";"RAS"
"19";"Porte-clés 3D Main du roi";"ABYKEY103";"4.99";"9.90";"1.98";"39.5%";"8.00";"9.90";"8.96";"9.90";"-";"8.00";"8.99";"0.65";"Marge faible (Vérifier)"
"32";"Porte-clé Baguette Lumos";"GIFWOW012";"4.95";"9.90";"2.00";"40.0%";"9.99";"13.90";"11.95";"13.90";"-";"-";"9.99";"0.71";"Marge faible (Vérifier)"
"36";"Mug - 250 ml - Luna Lovegood";"ABYMUG717";"4.99";"9.99";"2.00";"40.1%";"9.90";"11.99";"10.63";"9.90";"11.99";"-";"9.99";"0.81";"Marge faible (Vérifier)"
"38";"Porte-clés 3D Baguette de Sureau";"ABYKEY301";"4.99";"9.90";"1.98";"39.5%";"13.90";"14.00";"13.95";"13.90";"-";"14.00";"-";"0.67";"Opportunité (Augmenter !)"
"41";"Mug Heat Change - 460 ml - Maraudeur";"ABYMUG301";"7.49";"14.99";"2.00";"40.0%";"16.99";"19.90";"18.45";"19.90";"16.99";"-";"-";"0.88";"Opportunité (Augmenter !)"
"44";"Cahier A5 Carte du Maraudeur";"ABYNOT036";"4.99";"9.99";"2.00";"40.1%";"9.90";"10.99";"10.47";"9.90";"10.99";"10.00";"10.99";"0.72";"Marge faible (Vérifier)"
"45";"Porte-clés 3D Nimbus";"ABYKEY344";"4.99";"9.90";"1.98";"39.5%";"8.99";"9.90";"9.45";"9.90";"-";"-";"8.99";"0.70";"Marge faible (Vérifier)"
"46";"Mug - 250 ml - Phoenix";"ABYMUG480";"4.99";"9.99";"2.00";"40.1%";"11.99";"12.90";"12.45";"12.90";"11.99";"-";"-";"0.93";"Opportunité (Augmenter !)"
"57";"Puzzle Le Tournoi des Trois Sorciers (1000 pièces)";"RAVE16518";"7.55";"14.90";"1.97";"39.2%";"14.99";"18.99";"16.99";"-";"18.99";"-";"14.99";"0.66";"Marge faible (Vérifier)"
"58";"Puzzle Le secret d'Azkaban (1000 pièces)";"RAVE16517";"7.55";"14.90";"1.97";"39.2%";"16.99";"19.99";"18.96";"16.99";"-";"19.90";"19.99";"0.63";"Opportunité (Augmenter !)"
"59";"Jeu de cartes à jouer Poudlard";"PP4258HPV2";"4.83";"9.99";"2.07";"42.0%";"8.90";"9.99";"9.30";"8.90";"9.99";"-";"9.00";"0.69";"Marge faible (Vérifier)"
"79";"Mug Le Chaudron Baveur";"MUGTDHP20";"5.98";"12.90";"2.16";"44.4%";"15.90";"16.99";"16.26";"15.90";"16.99";"15.90";"-";"0.65";"Opportunité (Augmenter !)"
"95";"Robe de Sorcier (enfants) - Gryffondor";"CR1201KIDS";"42.95";"87.95";"2.05";"41.4%";"86.90";"94.99";"90.22";"86.90";"94.99";"89.00";"89.99";"1.05";"Marge faible (Vérifier)"
"96";"Lot 3 paires de Chaussettes Poufsouffle - Du 37 au 46";"CR1624";"6.20";"12.95";"2.09";"42.5%";"13.90";"14.99";"14.45";"13.90";"13.99";"14.90";"14.99";"0.91";"Marge faible (Vérifier)"
"97";"Chemin De Traverse - puzzle 3D Wrebbit";"W3D1010";"18.99";"37.95";"2.00";"40.0%";"34.90";"39.99";"36.61";"34.90";"39.99";"34.95";"-";"0.79";"Marge faible (Vérifier)"
