Nom,Prix,Prix barré,Prix soldé,En promo,URL,Image
Sachet Bonbons Jelly Belly Beans Beanboozled - 54g,"6,00 €",,,Non,https://the-wizards-shop.com/fr/confiseries/1229-etui-bonbons-bertie-botts-beans-38g-harry-potter.html,https://the-wizards-shop.com/3756-home_default/etui-bonbons-bertie-botts-beans-38g-harry-potter.jpg
Pin's The Wizard's Shop,"7,90 €",,,Non,https://the-wizards-shop.com/fr/badges/553-pin-s-the-wizard-s-shop.html,https://the-wizards-shop.com/1441-home_default/pin-s-the-wizard-s-shop.jpg
Badge Pin's Chocolate Frog - Harry Potter,"6,90 €",,,Non,https://the-wizards-shop.com/fr/bijoux/1756-badge-pin-s-chocolate-frog-harry-potter.html,https://the-wizards-shop.com/6789-home_default/badge-pin-s-chocolate-frog-harry-potter.jpg
Carte de voeux de la Coupe du Monde de Quidditch - Harry Potter,"5,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1591-carte-de-voeux-tapisserie-de-la-coupe-du-monde-de-quidditch-harry-potter.html,https://the-wizards-shop.com/6017-home_default/carte-de-voeux-tapisserie-de-la-coupe-du-monde-de-quidditch-harry-potter.jpg
"Carte de Voeux ""Le Terrier"".","5,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1607-carte-de-voeux-le-terrier.html,https://the-wizards-shop.com/6111-home_default/carte-de-voeux-le-terrier.jpg
"Carte Postale ""Accio Firebolt!""","3,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1495-carte-postale-accio-firebolt.html,https://the-wizards-shop.com/5423-home_default/carte-postale-accio-firebolt.jpg
Carnet A5 Premium Poufsouffle Embleme Harry Potter,"14,90 €",,,Non,https://the-wizards-shop.com/fr/carnets/1243-carnet-a5-premium-poufsouffle-embleme-harry-potter.html,https://the-wizards-shop.com/3836-home_default/carnet-a5-premium-poufsouffle-embleme-harry-potter.jpg
"Carte Postale ""It's going to be a bumpy ride!""","3,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1493-carte-postale-it-s-going-to-be-a-bumpy-ride.html,https://the-wizards-shop.com/5421-home_default/carte-postale-it-s-going-to-be-a-bumpy-ride.jpg
"Carte Postale ""Message au Professeur Rogue..."".","3,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/1507-carte-postale-message-au-professeur-rogue.html,https://the-wizards-shop.com/5487-home_default/carte-postale-message-au-professeur-rogue.jpg
Carte de voeux lenticulaire Harry Potter Indésirable No.1,"5,00 €",,,Non,https://the-wizards-shop.com/fr/cartes-de-voeux/560-carte-de-voeux-lenticulaire-harry-potter-indesirable-no1.html,https://the-wizards-shop.com/1479-home_default/carte-de-voeux-lenticulaire-harry-potter-indesirable-no1.jpg
