"Month","Months since first purchase","Customers","Customer retention rate","Customers in cohort"
"2025-05-01",4,0,0,17
"2025-05-01",5,0,0,17
"2025-05-01",7,0,0,17
"2025-05-01",6,0,0,17
"2025-05-01",9,0,0,17
"2025-05-01",3,0,0,17
"2025-05-01",2,0,0,17
"2025-05-01",8,0,0,17
"2025-05-01",0,0,0,17
"2025-05-01",10,0,0,17
"2025-05-01",11,1,0.058823529411764705,17
"2025-05-01",1,0,0,17
"2025-06-01",3,0,0,17
"2025-06-01",9,0,0,17
"2025-06-01",8,0,0,17
"2025-06-01",7,0,0,17
"2025-06-01",2,0,0,17
"2025-06-01",10,0,0,17
"2025-06-01",0,1,0.058823529411764705,17
"2025-06-01",1,0,0,17
"2025-06-01",4,0,0,17
"2025-06-01",6,0,0,17
"2025-06-01",5,0,0,17
"2025-07-01",5,2,0.05714285714285714,35
"2025-07-01",7,0,0,35
"2025-07-01",2,1,0.02857142857142857,35
"2025-07-01",9,2,0.05714285714285714,35
"2025-07-01",3,1,0.02857142857142857,35
"2025-07-01",6,1,0.02857142857142857,35
"2025-07-01",8,1,0.02857142857142857,35
"2025-07-01",0,0,0,35
"2025-07-01",4,2,0.05714285714285714,35
"2025-07-01",1,0,0,35
"2025-08-01",1,0,0,17
"2025-08-01",0,0,0,17
"2025-08-01",2,0,0,17
"2025-08-01",8,0,0,17
"2025-08-01",3,0,0,17
"2025-08-01",6,0,0,17
"2025-08-01",7,0,0,17
"2025-08-01",5,0,0,17
"2025-08-01",4,2,0.11764705882352941,17
"2025-09-01",4,0,0,33
"2025-09-01",5,1,0.030303030303030304,33
"2025-09-01",7,0,0,33
"2025-09-01",6,2,0.06060606060606061,33
"2025-09-01",3,0,0,33
"2025-09-01",2,2,0.06060606060606061,33
"2025-09-01",0,1,0.030303030303030304,33
"2025-09-01",1,1,0.030303030303030304,33
"2025-10-01",5,3,0.04411764705882353,68
"2025-10-01",4,1,0.014705882352941176,68
"2025-10-01",6,1,0.014705882352941176,68
"2025-10-01",2,1,0.014705882352941176,68
"2025-10-01",3,0,0,68
"2025-10-01",1,3,0.04411764705882353,68
"2025-10-01",0,4,0.058823529411764705,68
"2025-11-01",5,0,0,112
"2025-11-01",0,0,0,112
"2025-11-01",4,1,0.008928571428571428,112
"2025-11-01",1,3,0.026785714285714284,112
"2025-11-01",3,3,0.026785714285714284,112
"2025-11-01",2,0,0,112
"2025-12-01",1,3,0.02830188679245283,106
"2025-12-01",0,3,0.02830188679245283,106
"2025-12-01",2,3,0.02830188679245283,106
"2025-12-01",3,0,0,106
"2025-12-01",4,1,0.009433962264150943,106
"2026-01-01",3,0,0,27
"2026-01-01",2,0,0,27
"2026-01-01",0,1,0.037037037037037035,27
"2026-01-01",1,1,0.037037037037037035,27
"2026-02-01",2,0,0,22
"2026-02-01",1,0,0,22
"2026-02-01",0,1,0.045454545454545456,22
"2026-03-01",1,0,0,38
"2026-03-01",0,1,0.02631578947368421,38
"2026-04-01",0,0,0,43
