"Month","Sessions with searches","Search sessions with clicks","Search sessions with cart additions","Search sessions that completed checkout","Search click rate","Search added to cart rate","Search conversion rate","Month (previous_period)","Sessions with searches (previous_period)","Search sessions with clicks (previous_period)","Search sessions with cart additions (previous_period)","Search sessions that completed checkout (previous_period)","Search click rate (previous_period)","Search added to cart rate (previous_period)","Search conversion rate (previous_period)","Sessions with searches (previous_period) ","Search sessions with clicks (previous_period) ","Search sessions with cart additions (previous_period) ","Search sessions that completed checkout (previous_period) ","Search click rate (previous_period) ","Search added to cart rate (previous_period) ","Search conversion rate (previous_period) "
"2025-05-01",105,42,6,2,0.4,0.05714285714285714,0.01904761904761905,"2024-05-01",91,49,14,1,0.5384615384615384,0.15384615384615385,0.01098901098901099,15.384615384615385,-14.285714285714286,-57.142857142857146,100,-25.714285714285708,-62.85714285714286,73.33333333333334
"2025-06-01",226,134,18,4,0.5929203539823009,0.07964601769911504,0.017699115044247787,"2024-06-01",208,140,31,2,0.6730769230769231,0.14903846153846154,0.009615384615384616,8.653846153846153,-4.285714285714286,-41.935483870967744,100,-11.90897597977244,-46.56009135027119,84.07079646017698
"2025-07-01",407,204,30,6,0.5012285012285013,0.07371007371007371,0.014742014742014743,"2024-07-01",150,97,20,5,0.6466666666666666,0.13333333333333333,0.03333333333333333,171.33333333333334,110.30927835051547,50,20,-22.490437954355468,-44.717444717444714,-55.77395577395577
"2025-08-01",237,125,21,4,0.5274261603375527,0.08860759493670886,0.016877637130801686,"2024-08-01",127,67,9,1,0.5275590551181102,0.07086614173228346,0.007874015748031496,86.61417322834646,86.56716417910448,133.33333333333334,300,-0.025190503180292104,25.035161744022506,114.34599156118142
"2025-09-01",538,250,30,4,0.4646840148698885,0.055762081784386616,0.007434944237918215,"2024-09-01",234,122,12,2,0.5213675213675214,0.05128205128205128,0.008547008547008548,129.9145299145299,104.91803278688525,150,100,-10.872082393808283,8.736059479553905,-13.01115241635689
"2025-10-01",809,501,64,11,0.619283065512979,0.07911001236093942,0.013597033374536464,"2024-10-01",340,190,30,6,0.5588235294117647,0.08823529411764706,0.01764705882352941,137.94117647058823,163.68421052631578,113.33333333333333,83.33333333333333,10.819074881269916,-10.341985990935324,-22.950144210960037
"2025-11-01",477,272,50,13,0.570230607966457,0.10482180293501048,0.027253668763102725,"2024-11-01",304,166,35,12,0.5460526315789473,0.11513157894736842,0.039473684210526314,56.9078947368421,63.855421686746986,42.857142857142854,8.333333333333334,4.427773989037908,-8.954776879305182,-30.957372466806426
"2025-12-01",511,306,57,17,0.598825831702544,0.11154598825831702,0.033268101761252444,"2024-12-01",323,195,34,16,0.6037151702786377,0.10526315789473684,0.04953560371517028,58.204334365325074,56.92307692307692,67.6470588235294,6.25,-0.8098750564504005,5.968688845401174,-32.840019569471636
"2026-01-01",189,101,17,6,0.5343915343915344,0.08994708994708994,0.031746031746031744,"2025-01-01",171,101,16,3,0.5906432748538012,0.0935672514619883,0.017543859649122806,10.526315789473685,0,6.25,100,-9.523809523809522,-3.869047619047619,80.95238095238095
"2026-02-01",344,227,31,7,0.6598837209302325,0.09011627906976744,0.020348837209302327,"2025-02-01",276,158,33,10,0.572463768115942,0.11956521739130435,0.036231884057971016,24.63768115942029,43.67088607594937,-6.0606060606060606,-30,15.270827200470997,-24.630021141649056,-43.83720930232558
"2026-03-01",343,180,25,7,0.5247813411078717,0.0728862973760933,0.02040816326530612,"2025-03-01",201,124,18,6,0.6169154228855721,0.08955223880597014,0.029850746268656716,70.64676616915423,45.16129032258065,38.888888888888886,16.666666666666668,-14.934637449449829,-18.61030126336248,-31.632653061224495
"2026-04-01",381,225,37,2,0.5905511811023622,0.09711286089238845,0.005249343832020997,"2025-04-01",207,153,28,8,0.7391304347826086,0.13526570048309178,0.03864734299516908,84.05797101449275,47.05882352941177,32.142857142857146,-75,-20.101899027327466,-28.20584926884139,-86.41732283464566
"2026-05-01",137,79,16,3,0.5766423357664233,0.11678832116788321,0.021897810218978103,"2025-05-01",64,32,8,2,0.5,0.125,0.03125,104.4776119402985,125.71428571428571,100,50,10.385818561001045,-2.1897810218978115,-26.642335766423354
