Date,Clics,Impressions,CTR,Position
2025-05-14,23,2815,0.82%,17.4
2025-05-15,31,2284,1.36%,15.7
2025-05-16,27,2229,1.21%,14.7
2025-05-17,19,2425,0.78%,14.8
2025-05-18,32,2947,1.09%,15.9
2025-05-19,24,2323,1.03%,15.3
2025-05-20,17,2314,0.73%,15.1
2025-05-21,19,2404,0.79%,14
2025-05-22,31,2488,1.25%,14.7
2025-05-23,21,2430,0.86%,14.7
2025-05-24,27,2769,0.98%,14.1
2025-05-25,17,2714,0.63%,14.8
2025-05-26,24,2447,0.98%,15.1
2025-05-27,29,2532,1.15%,14.8
2025-05-28,23,2502,0.92%,14
2025-05-29,31,2583,1.2%,15.1
2025-05-30,22,2392,0.92%,15.7
2025-05-31,21,2420,0.87%,15.9
2025-06-01,21,2672,0.79%,15.2
2025-06-02,25,2524,0.99%,13.9
2025-06-03,32,3343,0.96%,17
2025-06-04,22,2993,0.74%,15.3
2025-06-05,21,2857,0.74%,15.9
2025-06-06,26,2968,0.88%,15.3
2025-06-07,28,3261,0.86%,14.4
2025-06-08,24,4529,0.53%,22.1
2025-06-09,37,3995,0.93%,19.3
2025-06-10,39,2793,1.4%,15.1
2025-06-11,22,2899,0.76%,14.9
2025-06-12,24,2525,0.95%,15.8
2025-06-13,23,2372,0.97%,15.8
2025-06-14,27,2885,0.94%,15.5
2025-06-15,22,2731,0.81%,15.1
2025-06-16,28,2585,1.08%,15.5
2025-06-17,23,2683,0.86%,14.5
2025-06-18,17,2633,0.65%,16.7
2025-06-19,12,2456,0.49%,15.3
2025-06-20,18,2410,0.75%,15.6
2025-06-21,21,2351,0.89%,14.4
2025-06-22,27,2539,1.06%,14.9
2025-06-23,32,2449,1.31%,14.5
2025-06-24,27,2680,1.01%,15.3
2025-06-25,36,2652,1.36%,14.4
2025-06-26,31,2692,1.15%,14.1
2025-06-27,31,2631,1.18%,15.2
2025-06-28,30,2612,1.15%,15.2
2025-06-29,32,2831,1.13%,14.4
2025-06-30,19,2629,0.72%,15.1
2025-07-01,39,2675,1.46%,14.6
2025-07-02,34,2977,1.14%,14.9
2025-07-03,30,2790,1.08%,14.5
2025-07-04,23,2891,0.8%,15.9
2025-07-05,24,3646,0.66%,16
2025-07-06,35,3271,1.07%,15.7
2025-07-07,25,2706,0.92%,14
2025-07-08,27,2845,0.95%,16.1
2025-07-09,22,3190,0.69%,15
2025-07-10,27,2919,0.92%,16.9
2025-07-11,25,5016,0.5%,23.9
2025-07-12,23,3714,0.62%,19.7
2025-07-13,30,2756,1.09%,14.7
2025-07-14,28,2677,1.05%,14.6
2025-07-15,30,2809,1.07%,15.1
2025-07-16,34,2676,1.27%,13.7
2025-07-17,28,2479,1.13%,14.2
2025-07-18,46,2559,1.8%,13.9
2025-07-19,37,2700,1.37%,13.7
2025-07-20,38,2934,1.3%,14.2
2025-07-21,51,2827,1.8%,12.9
2025-07-22,34,3172,1.07%,14.9
2025-07-23,37,3037,1.22%,13.8
2025-07-24,52,2731,1.9%,13.9
2025-07-25,27,2807,0.96%,14.3
2025-07-26,34,2882,1.18%,13.7
2025-07-27,34,2964,1.15%,12.5
2025-07-28,44,3210,1.37%,14.4
2025-07-29,31,3036,1.02%,13.8
2025-07-30,61,3049,2%,12.6
2025-07-31,47,2935,1.6%,11.3
2025-08-01,51,2946,1.73%,12.4
2025-08-02,38,2725,1.39%,12.1
2025-08-03,38,2792,1.36%,12.1
2025-08-04,33,2985,1.11%,12.9
2025-08-05,39,3803,1.03%,14.6
2025-08-06,39,3199,1.22%,14.4
2025-08-07,33,3090,1.07%,14.4
2025-08-08,45,3246,1.39%,12.6
2025-08-09,34,3290,1.03%,12.8
2025-08-10,29,3310,0.88%,14.6
2025-08-11,24,5628,0.43%,22.6
2025-08-12,24,3100,0.77%,14.9
2025-08-13,50,3027,1.65%,13.2
2025-08-14,45,2924,1.54%,12.8
2025-08-15,32,2897,1.1%,11.4
2025-08-16,38,2936,1.29%,11.5
2025-08-17,45,2846,1.58%,12.1
2025-08-18,39,2893,1.35%,11.7
2025-08-19,46,3241,1.42%,12.6
2025-08-20,54,3142,1.72%,11.5
2025-08-21,51,3360,1.52%,12
2025-08-22,42,3080,1.36%,12.6
2025-08-23,34,2923,1.16%,12.1
2025-08-24,35,3166,1.11%,12.5
2025-08-25,32,3067,1.04%,12.9
2025-08-26,38,3225,1.18%,13.5
2025-08-27,47,3602,1.3%,13.7
2025-08-28,54,3567,1.51%,13.4
2025-08-29,43,3507,1.23%,14.3
2025-08-30,48,3767,1.27%,13.2
2025-08-31,50,3621,1.38%,12.2
2025-09-01,44,3443,1.28%,13
2025-09-02,46,3321,1.39%,12.8
2025-09-03,53,3406,1.56%,12.8
2025-09-04,43,3357,1.28%,13.5
2025-09-05,40,3925,1.02%,14.3
2025-09-06,49,3628,1.35%,11.6
2025-09-07,66,4228,1.56%,11.6
2025-09-08,57,3298,1.73%,12.1
2025-09-09,59,3603,1.64%,12.9
