Pays,Clics,Impressions,CTR,Position
France,18180,1120213,1.62%,9.81
Belgique,199,23983,0.83%,18.97
Réunion (Île de la),52,3788,1.37%,7.12
Suisse,51,9247,0.55%,8.91
Canada,48,14694,0.33%,10.97
Royaume-Uni,37,6934,0.53%,18.76
Allemagne,36,2856,1.26%,18.36
Italie,22,2172,1.01%,17.89
Espagne,21,2353,0.89%,15.45
Pays-Bas,20,1270,1.57%,14.46
États-Unis,13,17479,0.07%,25.89
Guadeloupe,12,744,1.61%,6.82
Portugal,12,643,1.87%,9.81
Martinique,11,847,1.3%,7.44
Algérie,9,2084,0.43%,8.41
Maroc,9,1843,0.49%,12.28
Luxembourg,9,931,0.97%,6.32
Nouvelle-Calédonie,8,666,1.2%,6.11
Ukraine,8,607,1.32%,26.03
Polynésie française,8,518,1.54%,6.36
Tunisie,7,1168,0.6%,7.8
Japon,5,928,0.54%,10.66
Brésil,4,13949,0.03%,26.38
Côte d'Ivoire,4,749,0.53%,7.7
Madagascar,4,484,0.83%,6.42
Autriche,4,216,1.85%,14.78
Hongrie,4,180,2.22%,17.75
Russie,3,1717,0.17%,30.54
Mexique,3,1566,0.19%,27.08
Sénégal,3,591,0.51%,8.2
Danemark,3,137,2.19%,15.7
Costa Rica,3,129,2.33%,25.98
Turquie,2,860,0.23%,22.98
Pologne,2,574,0.35%,19.59
Australie,2,466,0.43%,18.12
Roumanie,2,338,0.59%,15
Guyane française,2,298,0.67%,6.57
Maurice (Île),2,181,1.1%,7.99
Burkina Faso,2,177,1.13%,9.43
Togo,2,159,1.26%,6.31
Norvège,2,156,1.28%,13.83
Monaco,2,136,1.47%,15.59
Chine,2,103,1.94%,12.5
Malte,2,40,5%,9.35
Thaïlande,1,390,0.26%,17.68
Israël,1,381,0.26%,17.81
Irlande,1,379,0.26%,19.5
Haïti,1,241,0.41%,7.46
Singapour,1,192,0.52%,17.12
Bulgarie,1,164,0.61%,21.54
Népal,1,122,0.82%,23.53
Mayotte,1,99,1.01%,5.84
Hong-Kong,1,94,1.06%,11.8
Croatie,1,91,1.1%,14.19
Qatar,1,86,1.16%,19.21
Slovaquie,1,75,1.33%,20.21
El Salvador,1,75,1.33%,24.09
Djibouti,1,41,2.44%,4.44
République Centrafricaine,1,19,5.26%,4.84
Inde,0,3348,0%,27.48
Vietnam,0,1844,0%,27.76
Philippines,0,1406,0%,24.4
Corée du Sud,0,1403,0%,26.73
Argentine,0,1382,0%,25.15
Indonésie,0,1294,0%,22.98
Bangladesh,0,796,0%,24.54
Colombie,0,752,0%,24.96
Équateur,0,678,0%,26.83
Égypte,0,646,0%,21.83
Arabie Saoudite,0,641,0%,24.98
Venezuela,0,548,0%,25.78
Pakistan,0,542,0%,24.37
Afrique du Sud,0,525,0%,28.32
République démocratique du Congo,0,506,0%,6.04
Malaisie,0,447,0%,26.32
Pérou,0,435,0%,24.75
Irak,0,414,0%,25.66
Chili,0,367,0%,25.75
Émirats Arabes Unis,0,335,0%,18.94
Grèce,0,328,0%,15.48
Cameroun,0,313,0%,7.56
Taïwan,0,299,0%,26.5
République Dominicaine,0,254,0%,21.95
Bénin,0,251,0%,7.77
Suède,0,246,0%,15.03
Uruguay,0,237,0%,25.98
Paraguay,0,221,0%,24.52
Ouzbékistan,0,220,0%,26.44
Kazakhstan,0,212,0%,25.97
Nigéria,0,207,0%,15.26
Gabon,0,196,0%,10.79
Biélorussie,0,190,0%,25.9
République tchèque,0,185,0%,15.93
Congo-Brazzaville,0,178,0%,7.56
Jordanie,0,171,0%,29.05
Kenya,0,169,0%,25.41
Albanie,0,154,0%,18.62
Trinité-et-Tobago,0,154,0%,30.93
Liban,0,153,0%,10.56
Région inconnue,0,144,0%,28.08
Mali,0,134,0%,7
Nouvelle-Zélande,0,134,0%,16.41
Iran,0,128,0%,20.77
Finlande,0,127,0%,14.5
Éthiopie,0,125,0%,25.77
Bolivie,0,125,0%,28.98
Jamaïque,0,122,0%,27.3
Serbie,0,118,0%,21.68
Guatemala,0,117,0%,18.96
Cambodge,0,109,0%,18.91
Azerbaïdjan,0,107,0%,26.84
Arménie,0,106,0%,27.55
Panama,0,103,0%,24.92
Honduras,0,103,0%,27.93
Mauritanie,0,102,0%,8.29
Moldavie,0,102,0%,24.82
Géorgie,0,91,0%,22.79
Oman,0,88,0%,24.16
Bosnie-Herzégovine,0,74,0%,22.01
Guinée,0,71,0%,5.04
Lituanie,0,68,0%,33.87
Barbade (La),0,67,0%,34.04
Koweït,0,65,0%,22.18
Ghana,0,62,0%,19.87
Palestine,0,61,0%,19.77
Saint-Martin,0,55,0%,7.51
Angola,0,55,0%,13.04
Bahreïn,0,55,0%,21.71
Syrie,0,53,0%,22.3
Chypre,0,53,0%,23.3
Sri Lanka,0,52,0%,20.13
Kirghizistan,0,52,0%,35.02
Bahamas,0,51,0%,27.92
Nicaragua,0,50,0%,20.76
Niger,0,48,0%,5.98
Andorre,0,48,0%,9.67
Slovénie,0,48,0%,18.02
Macédoine,0,47,0%,23.34
Lettonie,0,45,0%,15
Tchad,0,43,0%,8.53
Porto Rico,0,43,0%,29.58
Saint-Barthélemy,0,42,0%,6.36
Estonie,0,42,0%,18.05
Saint-Pierre-et-Miquelon,0,41,0%,6.63
Laos,0,35,0%,17.2
Rwanda,0,34,0%,11.85
Myanmar (Birmanie),0,34,0%,32.53
Tanzanie,0,33,0%,16.94
Seychelles,0,32,0%,11.44
Islande,0,32,0%,11.47
Burundi,0,25,0%,6.44
Mongolie,0,25,0%,18.08
Ouganda,0,25,0%,20.08
Guyane,0,23,0%,29.61
Libye,0,22,0%,17.27
Belize,0,20,0%,30.85
Cap-Vert,0,18,0%,13.06
Monténégro,0,17,0%,13
Kosovo,0,17,0%,23.41
Surinam,0,17,0%,30.82
Saint-Christophe-et-Niévès,0,16,0%,27.44
Sahara oriental,0,15,0%,16.67
Sainte-Lucie,0,15,0%,18.27
Mozambique,0,15,0%,24.33
Maldives,0,14,0%,21
Bermudes,0,14,0%,37.93
Botswana,0,14,0%,43.79
Zimbabwe,0,13,0%,19.23
Brunei,0,13,0%,21.46
Comores (Archipel),0,12,0%,5.58
Afghanistan,0,11,0%,12.27
Gambie,0,11,0%,12.91
Somalie,0,10,0%,11.8
Curaçao,0,10,0%,22.5
Aruba,0,10,0%,29.2
Sint Maarten,0,9,0%,21.78
Grenade,0,9,0%,25.33
Macao,0,9,0%,26.89
Zambie,0,8,0%,19.62
Man (Île),0,8,0%,28.25
Guernesey,0,7,0%,10.29
Turkménistan,0,7,0%,16.71
Namibie,0,7,0%,22.14
Yémen,0,7,0%,26.43
Caïmans (Îles),0,7,0%,27.86
Jersey,0,6,0%,14.67
Dominique,0,6,0%,23.17
Cuba,0,6,0%,24.83
Liberia,0,6,0%,25
Îles Vierges britanniques,0,6,0%,28.83
Antigua-et-Barbuda,0,6,0%,30.33
Guinée équatoriale,0,5,0%,4.8
Bhutan,0,5,0%,9.6
Malawi,0,5,0%,17.8
Saint-Vincent-et-les-Grenadines,0,5,0%,28.4
Liechtenstein,0,5,0%,29.8
Faroe (Îles),0,4,0%,20
Soudan,0,4,0%,37
Fidji,0,3,0%,4.33
Guinée-Bissau,0,3,0%,10.67
Gibraltar,0,3,0%,43
Tadjikistan,0,3,0%,56
Saint-Marin,0,2,0%,3.5
Îles Vierges américaines,0,2,0%,4.5
Wallis-et-Futuna,0,2,0%,6.5
Lesotho,0,2,0%,9.5
Anguilla,0,2,0%,29
Guam,0,2,0%,43
Montserrat,0,1,0%,1
Pays-Bas caribéens,0,1,0%,4
Svalbard et Jan Mayen,0,1,0%,9
Cook (Îles),0,1,0%,10
