"Landing page type","Landing page path","Online store visitors","Sessions","Sessions with cart additions","Sessions that reached checkout"
"Homepage","/",10748,14085,1057,402
"Collection","/collections/harry-potter-decorations-noel-calendriers-de-lavent",2208,2363,45,15
"Search","/search",1076,1464,72,25
"Collection","/collections/harry-potter",902,1214,71,21
"Product","/products/pull-r-pour-ron",509,670,41,19
"Collection","/collections/harry-potter-decorations/no%C3%ABl",581,669,53,14
"Collection","/collections/tous-les-produits",462,667,60,24
"Collection","/collections/soldes",392,500,25,13
"Product","/products/c-7000",364,391,26,17
"Collection","/collections/minalima",287,332,40,21
"Collection","/collections/nouveautes",229,324,14,6
"Product","/products/commode-des-4-maisons",276,306,9,2
"Product","/products/calendrier-de-lavent-deluxe-quidditch",281,300,9,5
"Product","/products/calendrier-de-lavent-creatures-du-monde-des-sorciers",281,287,2,0
"Cart","/cart",122,276,40,26
"Product","/products/pull-ron-weasley-harry-potter-lochaven-ecosse",215,259,10,4
"Collection","/collections/harry-potter-bijoux/colliers",248,257,9,4
"Collection","/collections/univers-enchante-et-artisanat",157,224,11,6
"Product","/products/lot-de-4-sets-de-table-famille-black",196,212,24,8
"Product","/products/calendrier-de-lavent-honeydukes",191,196,2,1
"Product","/products/la-prophetie",176,194,0,0
"Custom Page","/pages/la-tombola-de-noel-2025-est-la",168,180,6,4
"Collection","/collections/artisanat-et-curiosites-decorations/Plaids-et-coussins",162,174,10,5
"Collection","/collections/seigneur-des-anneaux",129,170,12,3
"Product","/products/calendrier-de-l-avent-2024-dobby",163,165,4,2
"Product","/products/calendrier-de-lavent-chemin-de-traverse",146,165,1,0
"Product","/products/baguette-de-james-potter",164,164,0,0
"Product","/products/hppc01",155,155,5,4
"Product","/products/j02872",149,153,0,0
"Product","/products/candelabre-de-poudlard",133,152,6,4
"Collection","/collections/artisanat-et-curiosites",53,148,8,0
"Product","/products/echarpe-en-laine-gryffondor-lochaven",119,147,11,7
"Product","/products/peluche-patronus-lievre",135,143,3,0
"Product","/products/sac-a-lunch-poufsouffle",132,142,11,3
"Product","/products/lot-de-4-assiettes-et-4-anneaux-ronds-de-serviettes-seigneur-des-anneaux",107,130,1,0
"Product","/products/carte-2-volets-alphabet-harry-potter",106,120,0,0
"Product","/products/hppc10",115,115,5,0
"Collection","/collections/friandises",100,113,11,1
"Checkout","/checkouts/cn/hWN6c9YvH1MxkmYGf64j8OyB/fr-fr/information",2,109,0,108
"Collection","/collections/noel",98,108,18,7
"Collection","/collections/seigneur-des-anneaux-decorations",99,108,1,0
"Product","/products/carnet-tapisserie-famille-black",100,107,0,0
"Custom Page","/pages/contact",97,105,2,1
"Product","/products/baguette-magique-boite-ollivander-harry-potter",104,104,1,0
"Product","/products/harry-potter-porte-cles-poudlard",102,103,0,0
"Collection","/collections/precommandes",93,101,8,4
"Product","/products/mug-3d-retour-a-poudlard-dobby",93,100,6,3
"Product","/products/attrape-soleil-lune-et-pierres",86,98,6,4
"Product","/products/sac-a-lunch-serdaigle",93,98,5,1
"Product","/products/sac-a-lunch-gryffondor",93,96,7,3
"Product","/products/hppc02",93,96,3,0
"Collection","/collections/seigneur-des-anneaux-figurines",88,95,3,2
"Product","/products/book-nook-dragon-noir-20cm",16,94,1,1
"Collection","/collections/harry-potter-vetements-1/pulls",88,93,5,2
"Product","/products/tapis-de-bureau-hedwige",81,93,2,1
"Product","/products/baguette-de-parvati-patil",92,92,0,0
"Product","/products/peluche-balais-nimbus-2000",87,92,6,1
"Product","/products/cr2744",91,91,1,1
"Product","/products/baguette-de-olivier-dubois",90,90,0,0
"Product","/products/baguette-de-ginny-weasley",89,89,0,0
"Product","/products/mug-chaudron-infusion-de-sorcieres",86,88,8,5
"Collection","/collections/harry-potter-decorations",80,87,5,5
"Collection","/collections/harry-potter-vetements-1",83,87,1,0
"Product","/products/journal-serpentard",85,85,0,0
"Product","/products/gateau-danniversaire-de-harry-toyllectible-pufflums",80,85,1,0
"Product","/products/boucles-doreilles-eclair",85,85,0,0
"Product","/products/coffret-magique-weasley-et-weasley",79,84,2,0
"Product","/products/parapluie-famille-black",79,84,6,1
"Product","/products/tote-bag-emblemes-herbologie",82,82,0,0
"Product","/products/mug-400-ml-carte-du-maraudeur",80,82,4,3
"Product","/products/journal-advanced-potion-making-edition-ii",79,82,1,1
"Collection","/collections/maison-et-accessoires",65,80,8,2
"Product","/products/hppc17",80,80,0,0
"Collection","/collections/bijoux",75,79,0,0
"Product","/products/cr2733",79,79,0,0
"Product","/products/carte-de-voeux-constellations",79,79,0,0
"Product","/products/tote-bag-les-trois-balais",78,78,0,0
"Product","/products/book-nook-dragon-20cm",41,78,1,1
"Product","/products/hppc05",77,78,1,1
"Product","/products/collier-eclair",76,77,0,0
"Product","/products/j01143",76,76,0,0
"Product","/products/pull-h-pour-harry",60,76,5,3
"Product","/products/tote-bag-livre-des-monstres",63,76,1,0
"Collection","/collections/harry-potter-friandises-1",74,75,5,1
"Product","/products/baguette-de-molly-weasley",75,75,0,0
"Product","/products/replique-du-collier-d-opale-maudit-precommande",69,75,8,5
"Product","/products/porte-cles-peluche-dobby",72,74,2,2
"Product","/products/harry-potter-a-lecole-des-sorciers-i-poufsouffle",71,72,0,0
"Product","/products/harry-potter-et-la-coupe-de-feu-ledition-illustree-interactive",61,72,6,4
"Product","/products/journal-poudlard",72,72,0,0
"Product","/products/baguette-de-kingsley-shacklebolt",71,71,0,0
"Collection","/collections/harry-potter-pieces-de-collection-1",53,70,3,2
"Product","/products/dragon-coeur",66,70,2,0
"Product","/products/sac-a-lunch-serpentard",67,70,6,1
"Product","/products/bague-fine-ajustable-univers-sorcier",68,69,5,1
"Product","/products/porte-cles-peluche-chocogrenouille",68,68,0,0
"Product","/products/ewnx0025",68,68,0,0
"Product","/products/carte-2-volets-carte-du-maraudeur",68,68,0,0
"Product","/products/collier-armoirie-de-poudlard",67,67,0,0
"Product","/products/journal-serdaigle",67,67,0,0
"Product","/products/porte-cles-peluche-harry-potter-coupe-de-feu",67,67,0,0
"Product","/products/carte-2-volets-livre-advanced-potion-making-edition-ii",67,67,0,0
"Collection","/collections/harry-potter-bijoux/boucles-d%27oreilles",62,66,1,0
"Product","/products/bebes-dragons",49,65,2,2
"Product","/products/livre-harry-potter-coupe-de-feu-edition-illustree-interactive",61,65,2,0
"Collection","/collections/baguettes-magiques",60,64,12,2
"Custom Page","/pages/wishlist",26,64,7,2
"Product","/products/porte-cles-maison-poufsouffle",64,64,0,0
"Product","/products/journal-gryffondor",63,63,0,0
"Product","/products/guide-cinema-les-maisons-de-poudlard",63,63,0,0
"Product","/products/tote-bag-bieraubeurre",63,63,0,0
"Product","/products/collier-armoirie-de-serpentard",63,63,0,0
"Product","/products/porte-bijoux-dore-fumseck",50,63,4,3
"Product","/products/tasse-grenouille-et-soucoupe-nenuphar",62,62,6,1
"Product","/products/ewnx0024",62,62,0,0
"Product","/products/boucles-d-oreilles-armoirie-de-griffondor",62,62,0,0
"Product","/products/coffret-7-tomes-harry-potter",60,61,0,0
"Product","/products/carte-de-la-terre-du-milieu",60,61,1,0
"Product","/products/ewnx0022",60,61,0,0
"Product","/products/la-magie-de-laquarelle-faune-et-flore",56,60,1,0
"Product","/products/hpbb03",59,60,1,1
"Product","/products/hppc11",59,60,1,1
"Product","/products/porte-cles-poussos",60,60,0,0
"Collection","/collections/harry-potter-bijoux/bagues",58,60,0,0
"Product","/products/harry-potter-a-lecole-des-sorciers-i-serpentard",59,59,0,0
"Product","/products/carte-danniversaire-pailletee-lune-et-constellations",59,59,0,0
"Product","/products/dechpk56",59,59,0,0
"Product","/products/porte-cles-maison-serpentard",59,59,0,0
"Product","/products/hppc03",59,59,3,0
"Product","/products/carte-de-voeux-tasse-a-the",58,59,3,2
"Collection","/collections/notre-selection-dautomne-magique",54,58,1,0
"Product","/products/baguette-darthur-weasley",56,58,3,1
"Product","/products/potion-damour",56,58,1,0
"Product","/products/ewnx0054",54,58,2,1
"Product","/products/hppc06",58,58,2,1
"Product","/products/chaussette-noel-harry-potter-serpentard-bal-de-noel",54,57,1,1
"Product","/products/pull-de-quidditch-serpentard",49,57,3,1
"Product","/products/carte-2-volets-plantes-aquatiques",57,57,0,0
"Product","/products/harry-potter-destination-serdaigle",57,57,0,0
"Product","/products/porte-cles-felix-felicis",57,57,0,0
