"Referrer source","Referrer name","Session city","Online store visitors","Sessions"
"direct",,,7249,7907
"search","google",,2058,2500
"social","instagram",,1347,1771
"direct",,"Council Bluffs",1725,1725
"social","facebook",,1280,1638
"direct",,"Paris",642,1076
"search","google","Paris",827,932
"direct",,"Rouen",406,748
"social","instagram","Paris",518,602
"direct",,"São Paulo",571,571
"search","google","Rouen",399,527
"direct",,"Ho Chi Minh City",405,406
"social","instagram","Lyon",334,394
"direct",,"Lyon",257,374
"search","google","Lyon",353,369
"social","facebook","Paris",312,361
"direct",,"Hanoi",351,351
"social","instagram","Rouen",204,326
"direct",,"Beijing",314,314
"social","facebook","Lyon",244,286
"direct",,"Guangzhou",257,257
"direct",,"Déville-lès-Rouen",9,245
"direct",,"Rio de Janeiro",237,237
"direct",,"Shanghai",209,209
"social","facebook","Rouen",136,191
"direct",,"Lille",80,186
"social","facebook","Clonee",169,169
"social","facebook","Prineville",165,165
"direct",,"Belo Horizonte",161,161
"search","google","Nantes",150,160
"social","facebook","Forest City",158,158
"search","google","Lille",136,153
"search","google","Marseille",141,151
"search","google","Toulouse",137,149
"direct",,"Brasília",143,143
"direct",,"Shenzhen",132,132
"social","instagram","Lille",93,125
"social","facebook","Lille",89,121
"social","facebook","Fort Worth",118,118
"direct",,"Quito",118,118
"social","facebook","Nantes",92,117
"social","facebook","Luleå",116,116
"direct",,"Curitiba",114,114
"direct",,"Nantes",81,112
"social","instagram","Toulouse",98,110
"direct",,"Wuhan",107,107
"direct",,"New York",104,106
"social","instagram","Marseille",94,106
"direct",,"Guayaquil",105,105
"direct",,"Campinas",104,104
"social","facebook","Altoona",100,100
"direct",,"Ashburn",100,100
"social","instagram","Nantes",83,99
"direct",,"Toulouse",75,98
"direct",,"Creil",91,97
"search","google","Rennes",87,96
"direct",,"Porto Alegre",92,92
"social","facebook","Toulouse",69,91
"direct",,"Salvador",87,87
"social","facebook","Marseille",77,86
"direct",,"Saint-Denis",19,86
"search","google","Bordeaux",82,86
"social","instagram","Bordeaux",77,85
"direct",,"Los Angeles",84,84
"direct",,"Da Nang",83,83
"search","google","Montpellier",79,82
"direct",,"Marseille",57,75
"direct",,"Guarulhos",75,75
"direct",,"Rennes",39,73
"direct",,"Hangzhou",72,72
"direct",,"Boardman",71,71
"direct",,"Caen",28,71
"direct",,"Treillières",5,68
"social","instagram","Rennes",56,67
"social","facebook","City of London",67,67
"direct",,"Ribeirão Preto",66,66
"direct",,"Goiânia",66,66
"social","facebook","Bordeaux",58,66
"direct",,"Fortaleza",65,65
"social","facebook","Ashburn",65,65
"search","google","Évreux",35,63
"social","instagram","Montpellier",53,63
"direct",,"Helsinki",62,62
"direct",,"Newark",62,62
"social","instagram","Strasbourg",50,62
"direct",,"Amiens",48,60
