"id";"Libellé";"Catégorie";"Marque";"Prix d'achat HT";"Fournisseur";"Ref. fournisseur";"Prix de vente";"Taxe";"Code-barres";"Type de déclinaison";"Prix soldé";"Emplacement";"Référence externe";"Compte comptable";"points +";"points -";"Affichable";"En ligne";"Image";"Stock";"Catégorie";"Poids";"Libellé court"
"1";"Chocogrenouille au chocolat";"Friandises";"N/A";"3.42";"Inconnu";"";"6.99";"0.200";"JB-EHPC";"";"0.00";"";"14163";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_1.jpg";"66";"Friandises";"0.00";""
"3";"Boîte Dragées Surprises de Bertie Crochue";"Friandises";"N/A";"1.71";"Inconnu";"";"4.95";"0.200";"JB-EHPBBBO";"";"0.00";"";"14161";"";"0";"0";"1";"1";"";"0";"Friandises";"0.00";""
"5";"Boîte à bonbons Maisons de Poudlard";"Friandises";"N/A";"5.00";"Inconnu";"";"9.99";"0.200";"JB-HOHCCT";"";"7.99";"";"14159";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_5.jpg";"0";"Friandises";"0.00";""
"6";"Boîte à bonbons Magicobus";"Friandises";"N/A";"12.85";"Inconnu";"";"24.99";"0.200";"JB-HPKBT";"";"18.00";"";"14158";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_6.jpg";"0";"Friandises";"0.00";""
"7";"Bieraubeurre sans alcool";"Friandises";"N/A";"2.26";"Inconnu";"";"3.95";"0.055";"UN-SBB";"";"0.00";"";"14157";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_7.jpg";"0";"Friandises";"0.00";""
"11";"Porte-clés 3D Etoile du soir";"Porte-clés";"N/A";"5.99";"Inconnu";"";"11.99";"0.200";"ABYKEY294";"";"0.00";"";"14153";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_11.jpg";"1";"Maison et accessoires > Porte-clés";"0.00";""
"12";"Pin's 3D Feuille de la Lorien";"Badges et Pin's";"N/A";"3.49";"Inconnu";"";"6.99";"0.200";"ABYPIN015";"";"0.00";"";"14152";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_12.jpg";"0";"Bijoux > Badges et Pin's";"0.00";""
"14";"Chope Poney Fringant";"Mugs et verres";"N/A";"7.49";"Inconnu";"";"15.99";"0.200";"ABYVER024";"";"0.00";"";"14150";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_14.jpg";"3";"Maison et accessoires > Mugs et verres";"0.00";""
"15";"Porte-clés 3D Targaryen";"Porte-clés";"N/A";"4.99";"Inconnu";"";"9.90";"0.200";"ABYKEY242";"";"5.94";"";"14149";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_15.jpg";"1";"Maison et accessoires > Porte-clés";"0.00";""
"17";"Porte-clés Targaryen";"Porte-clés";"N/A";"3.60";"Inconnu";"";"9.90";"0.200";"ABYKEY011";"";"5.94";"";"14147";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_17.jpg";"8";"Maison et accessoires > Porte-clés";"0.00";""
"18";"Porte-clés Lannister";"Porte-clés";"N/A";"3.60";"Inconnu";"";"9.90";"0.200";"ABYKEY010";"";"5.94";"";"14146";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_18.jpg";"7";"Maison et accessoires > Porte-clés";"0.00";""
"19";"Porte-clés 3D Main du roi";"Porte-clés";"N/A";"4.99";"Inconnu";"";"9.90";"0.200";"ABYKEY103";"";"5.94";"";"14145";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_19.jpg";"2";"Maison et accessoires > Porte-clés";"0.00";""
"32";"Porte-clé Baguette Lumos";"Porte-clés";"N/A";"4.95";"Inconnu";"";"9.90";"0.200";"GIFWOW012";"";"0.00";"";"14132";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_32.jpg";"0";"Maison et accessoires > Porte-clés";"0.00";""
"36";"Mug - 250 ml - Luna Lovegood";"Mugs et verres";"N/A";"4.99";"Inconnu";"";"9.99";"0.200";"ABYMUG717";"";"0.00";"";"14128";"";"0";"0";"1";"1";"";"0";"Maison et accessoires > Mugs et verres";"0.00";""
"38";"Porte-clés 3D Baguette de Sureau";"Porte-clés";"N/A";"4.99";"Inconnu";"";"9.90";"0.200";"ABYKEY301";"";"0.00";"";"14126";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_38.jpg";"0";"Maison et accessoires > Porte-clés";"0.00";""
"39";"Porte-clés Mangemort";"Porte-clés";"N/A";"3.99";"Inconnu";"";"7.99";"0.200";"ABYKEY225";"";"0.00";"";"14125";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_39.jpg";"0";"Maison et accessoires > Porte-clés";"0.00";""
"41";"Mug Heat Change - 460 ml - Maraudeur";"Mugs et verres";"N/A";"7.49";"Inconnu";"";"14.99";"0.200";"ABYMUG301";"";"0.00";"";"14123";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_41.jpg";"0";"Maison et accessoires > Mugs et verres";"0.00";""
"43";"Carnet Voie 9 3/4";"Carnets";"N/A";"3.49";"Inconnu";"";"8.00";"0.200";"ABYNOT054";"";"0.00";"";"14121";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_43.jpg";"1";"Papeterie > Carnets";"0.00";""
"44";"Cahier A5 Carte du Maraudeur";"Carnets";"N/A";"4.99";"Inconnu";"";"9.99";"0.200";"ABYNOT036";"";"0.00";"";"14120";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_44.jpg";"5";"Papeterie > Carnets";"0.00";""
"45";"Porte-clés 3D Nimbus";"Porte-clés";"N/A";"4.99";"Inconnu";"";"9.90";"0.200";"ABYKEY344";"";"0.00";"";"14119";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_45.jpg";"0";"Maison et accessoires > Porte-clés";"0.00";""
"46";"Mug - 250 ml - Phoenix";"Mugs et verres";"N/A";"4.99";"Inconnu";"";"9.99";"0.200";"ABYMUG480";"";"0.00";"";"14118";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_46.jpg";"0";"Maison et accessoires > Mugs et verres";"0.00";""
"57";"Puzzle Le Tournoi des Trois Sorciers (1000 pièces)";"Jeux et puzzles";"N/A";"7.55";"Inconnu";"";"14.90";"0.200";"RAVE16518";"";"11.92";"";"14107";"";"0";"0";"1";"1";"";"0";"Jeux et puzzles";"0.00";""
"58";"Puzzle Le secret d'Azkaban (1000 pièces)";"Jeux et puzzles";"N/A";"7.55";"Inconnu";"";"14.90";"0.200";"RAVE16517";"";"0.00";"";"14106";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_58.jpg";"0";"Jeux et puzzles";"0.00";""
"59";"Jeu de cartes à jouer Poudlard";"Jeux et puzzles";"N/A";"4.83";"Inconnu";"";"9.99";"0.200";"PP4258HPV2";"";"0.00";"";"14105";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_59.jpg";"0";"Jeux et puzzles";"0.00";""
"70";"Sac shopping He Who Must Not Be Named";"Sacs et Porte-monnaies";"N/A";"4.83";"Inconnu";"";"9.90";"0.200";"LGS-1501650001";"";"0.00";"";"14094";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_70.jpg";"0";"Maison et accessoires > Sacs et Porte-monnaies";"0.00";""
"79";"Mug Le Chaudron Baveur";"Mugs et verres";"N/A";"5.98";"Inconnu";"";"12.90";"0.200";"MUGTDHP20";"";"0.00";"";"14085";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_79.jpg";"0";"Maison et accessoires > Mugs et verres";"0.00";""
"82";"Harry Potter POP! Movies Vinyl figurine Viktor Krum (Yule) 9 cm";"POP";"N/A";"7.99";"Inconnu";"";"14.99";"0.200";"FK42252";"";"0.00";"";"14082";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_82.jpg";"0";"Figurines > POP";"0.00";""
"83";"Harry Potter POP! Movies Vinyl figurine Gilderoy Lockhart 9 cm";"POP";"N/A";"4.80";"Inconnu";"";"14.99";"0.200";"FK30031";"";"0.00";"";"14081";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_83.jpg";"0";"Figurines > POP";"0.00";""
"85";"Pin's House Arryn";"Badges et Pin's";"N/A";"2.51";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT10";"";"3.85";"";"14079";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_85.jpg";"1";"Bijoux > Badges et Pin's";"0.00";""
"87";"Pin's House Bolton";"Badges et Pin's";"N/A";"2.13";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT09";"";"3.85";"";"14077";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_87.jpg";"2";"Bijoux > Badges et Pin's";"0.00";""
"88";"Pin's House Tully";"Badges et Pin's";"N/A";"2.26";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT07";"";"3.85";"";"14076";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_88.jpg";"2";"Bijoux > Badges et Pin's";"0.00";""
"89";"Pin's House Tyrell";"Badges et Pin's";"N/A";"2.19";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT06";"";"3.85";"";"14075";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_89.jpg";"1";"Bijoux > Badges et Pin's";"0.00";""
"91";"Pin's House Targaryen";"Badges et Pin's";"N/A";"2.19";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT03";"";"3.85";"";"14073";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_91.jpg";"0";"Bijoux > Badges et Pin's";"0.00";""
"93";"Pin's House Lannister";"Badges et Pin's";"N/A";"2.26";"Inconnu";"";"5.50";"0.200";"DTR-GAGGOT02";"";"3.85";"";"14071";"";"0";"0";"1";"0";"https://lamuchette.hiboutik.com/images/products/mini_93.jpg";"0";"Bijoux > Badges et Pin's";"0.00";""
"95";"Robe de Sorcier (enfants) - Gryffondor";"Robes de sorciers";"N/A";"42.95";"Inconnu";"";"87.95";"0.200";"CR1201KIDS";"";"0.00";"";"14069";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_95.jpg";"1";"Vêtements > Robes de sorciers";"0.00";""
"96";"Lot 3 paires de Chaussettes Poufsouffle - Du 37 au 46";"Chaussettes";"N/A";"6.20";"Inconnu";"";"12.95";"0.200";"CR1624";"";"0.00";"";"14068";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_96.jpg";"0";"Vêtements > Chaussettes";"0.00";""
"97";"Chemin De Traverse - puzzle 3D Wrebbit";"Jeux et puzzles";"N/A";"18.99";"Inconnu";"";"37.95";"0.200";"W3D1010";"";"0.00";"";"14067";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_97.jpg";"0";"Jeux et puzzles";"0.00";""
"98";"Carte 2 volets A History of Magic";"Cartes";"N/A";"2.28";"MinaLima";"";"4.95";"0.200";"HPCARD18";"";"0.00";"";"14066";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_98.jpg";"10";"Papeterie > Cartes";"0.00";""
"99";"Carte 2 volets Gryffondor Crest";"Cartes";"N/A";"2.28";"MinaLima";"";"4.95";"0.200";"HPCARD34";"";"0.00";"";"14065";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_99.jpg";"12";"Papeterie > Cartes";"0.00";""
"106";"Echarpe de Norbert Dragonneau";"Echarpes";"N/A";"9.75";"Inconnu";"";"22.00";"0.200";"CR1009";"";"0.00";"";"14058";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_106.jpg";"0";"Vêtements > Echarpes";"0.00";""
"107";"Echarpe - Poufsouffle";"Echarpes";"N/A";"9.75";"Inconnu";"";"22.00";"0.200";"CR1004";"";"0.00";"";"14057";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_107.jpg";"4";"Vêtements > Echarpes";"0.00";""
"108";"Echarpe - Serdaigle";"Echarpes";"N/A";"9.50";"Inconnu";"";"22.00";"0.200";"CR1003";"";"0.00";"";"14056";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_108.jpg";"4";"Vêtements > Echarpes";"0.00";""
"109";"Echarpe - Serpentard";"Echarpes";"N/A";"9.50";"Inconnu";"";"22.00";"0.200";"CR1002";"";"0.00";"";"14055";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_109.jpg";"3";"Vêtements > Echarpes";"0.00";""
"110";"Robe de Sorcier (enfants) - Serpentard";"Robes de sorciers";"N/A";"42.95";"Inconnu";"";"87.95";"0.200";"CR1202KIDS";"";"0.00";"";"14054";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_110.jpg";"3";"Vêtements > Robes de sorciers";"0.00";""
"112";"Robe de Sorcier (enfants) - Serdaigle";"Robes de sorciers";"N/A";"42.95";"Inconnu";"";"87.95";"0.200";"CR1203KIDS";"";"0.00";"";"14052";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_112.jpg";"1";"Vêtements > Robes de sorciers";"0.00";""
"114";"Robe de Sorcier (enfants) - Poufsouffle";"Robes de sorciers";"N/A";"42.95";"Inconnu";"";"87.95";"0.200";"CR1204KIDS";"";"0.00";"";"14050";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_114.jpg";"1";"Vêtements > Robes de sorciers";"0.00";""
"116";"Cravate Deluxe Gryffondor avec pin's";"Cravates";"N/A";"11.99";"Inconnu";"";"24.95";"0.200";"CR1111";"";"0.00";"";"14048";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_116.jpg";"1";"Vêtements > Cravates";"0.00";""
"117";"Cravate Deluxe Serpentard avec pin's";"Cravates";"N/A";"11.95";"Inconnu";"";"24.95";"0.200";"CR1112";"";"0.00";"";"14047";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_117.jpg";"1";"Vêtements > Cravates";"0.00";""
"118";"Cravate Deluxe Serdaigle avec pin's";"Cravates";"N/A";"11.99";"Inconnu";"";"24.95";"0.200";"CR1113";"";"0.00";"";"14046";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_118.jpg";"0";"Vêtements > Cravates";"0.00";""
"119";"Cravate Deluxe Poufsouffle avec pin's";"Cravates";"N/A";"11.99";"Inconnu";"";"24.95";"0.200";"CR1114";"";"0.00";"";"14045";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_119.jpg";"0";"Vêtements > Cravates";"0.00";""
"120";"Cravate kid Gryffondor - Logo tissé";"Cravates";"N/A";"8.60";"Inconnu";"";"19.95";"0.200";"CR1141";"";"0.00";"";"14044";"";"0";"0";"1";"1";"https://lamuchette.hiboutik.com/images/products/mini_120.jpg";"2";"Vêtements > Cravates";"0.00";""
