"Code-barres";"id";"id Déclinaison";"Libellé";"Déclinaison";"Ref. fournisseur";"Point de vente";"Prix de vente";"Prix soldé";"Prix d'achat HT";"points +";"points -"
"071570001827";"1";"0";"Chocogrenouille au chocolat";"";"";"1";"0.00";"0.00";"0.00";"0";"0"
"071567998338";"3";"0";"Boîte Dragées Surprises de Bertie Crochue";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"071570011659";"5";"0";"Boîte à bonbons Maisons de Poudlard";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"071570011666";"6";"0";"Boîte à bonbons Magicobus";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"033919000458";"7";"0";"Bieraubeurre sans alcool";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"3665361016120";"11";"0";"Porte-clés 3D "Etoile du soir"";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
""--("-&à&-é'"";"12";"0";"Pin's 3D Feuille de la Lorien";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"3665361016243";"12";"0";"Pin's 3D Feuille de la Lorien";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"9791097270216";"13";"0";"ROYAUMES EPARPILLES – Guide de Voyage De L’aventurier";"";"";"0";"23.00";"0.00";"0.00";"0";"0"
"3700789286103";"15";"0";"Porte-clés 3D "Targaryen"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789215981";"16";"0";"Porte-clés 3D "Stark"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789200611";"17";"0";"Porte-clés "Targaryen"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789200604";"18";"0";"Porte-clés "Lannister"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789220855";"19";"0";"Porte-clés 3D "Main du roi"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789258155";"21";"0";"Mug - 320 ml - "Red Dragon"";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"3700789285915";"24";"0";"Mug - 320 ml - Niffleur";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"3700789288336";"25";"0";"Mug - 320 ml - Botruc";"";"";"0";"11.99";"0.00";"0.00";"0";"0"
"4983164159745";"26";"0";"Figurine Q posket George Weasley V1 14cm";"";"";"0";"29.90";"0.00";"0.00";"0";"0"
"4983164199987";"27";"0";"Figurine Q posket Fred Weasley V1 14cm";"";"";"0";"29.90";"0.00";"0.00";"0";"0"
"4983164199680";"28";"0";"Figurine Q posket Harry Potter Quidditch style 14cm";"";"";"0";"29.90";"0.00";"0.00";"0";"0"
"3296580852826";"29";"0";"Figurine de Collection Q posket Severus Rogue 14cm";"";"";"0";"29.90";"0.00";"0.00";"0";"0"
"3700789263708";"30";"0";"Porte-clés "Alohomora"";"";"";"0";"7.20";"0.00";"0.00";"0";"0"
"3665361012672";"31";"0";"Cahier A5 "Poudlard School"";"";"";"0";"9.99";"0.00";"0.00";"0";"0"
"5055394010581";"32";"0";"Porte-clé Baguette Lumos";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3665361028604";"36";"0";"Mug - 250 ml - Luna Lovegood";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"3665361022237";"38";"0";"Porte-clés 3D "Baguette de Sureau"";"";"";"0";"9.90";"0.00";"0.00";"0";"0"
"3700789283713";"39";"0";"Porte-clés "Mangemort"";"";"";"0";"0.00";"0.00";"0.00";"0";"0"
"3700789236436";"41";"0";"Mug Heat Change - 460 ml - Maraudeur";"";"";"0";"14.99";"0.00";"0.00";"0";"0"
